Bsmt Qual,1st Flr SF,Garage Area,Gr Liv Area,Overall Qual,Neighborhood,House Style,Exterior 1st,Mas Vnr Type,Foundation,Garage Type,Age,SalePrice
3,725,475.0,1479,6,7,2Story,HdBoard,BrkFace,CBlock,Attchd,34,130500
4,913,559.0,2122,7,15,2Story,VinylSd,BrkFace,PConc,Attchd,13,220000
3,1057,246.0,1057,5,11,1Story,VinylSd,None,CBlock,Detchd,57,109000
4,744,400.0,1444,5,21,2Story,VinylSd,None,PConc,BuiltIn,4,174000
2,831,484.0,1445,6,15,1.5Fin,Wd Sdng,None,PConc,Detchd,110,138500
3,1888,578.0,1888,6,11,1Story,BrkFace,None,CBlock,Attchd,44,190000
4,1072,525.0,1072,6,5,SFoyer,VinylSd,BrkFace,PConc,Basment,1,140000
3,1188,531.0,1188,5,11,1Story,Plywood,BrkFace,CBlock,Attchd,51,142000
3,924,420.0,924,5,4,1Story,Wd Sdng,None,CBlock,Detchd,55,112500
4,1040,504.0,2080,5,11,2Story,Plywood,BrkFace,PConc,Attchd,38,135000
3,483,264.0,987,6,3,2Story,HdBoard,BrkFace,CBlock,Detchd,37,85400
4,1208,632.0,1208,7,20,1Story,VinylSd,None,PConc,Attchd,1,183600
0,1288,576.0,2016,5,15,2Story,HdBoard,None,PConc,Attchd,129,131000
4,962,480.0,1607,8,22,2Story,MetalSd,BrkFace,PConc,Detchd,9,200000
4,1361,610.0,1361,7,20,1Story,VinylSd,None,PConc,Attchd,1,193000
5,1430,624.0,1430,5,13,1Story,VinylSd,None,PConc,Attchd,6,173500
3,624,513.0,1344,5,4,2Story,AsbShng,None,BrkTil,Detchd,92,98000
3,1121,480.0,1121,5,7,1Story,VinylSd,None,PConc,Detchd,46,139000
3,1285,528.0,1285,6,7,1Story,Plywood,BrkFace,CBlock,Attchd,30,143500
4,764,614.0,1547,7,22,2Story,VinylSd,None,PConc,Attchd,1,215200
4,894,450.0,894,5,7,1Story,VinylSd,None,CBlock,Attchd,39,129000
4,1659,499.0,1659,8,28,1Story,CemntBd,None,PConc,Attchd,9,278000
5,1209,575.0,2253,8,27,2Story,CemntBd,None,PConc,Attchd,1,344133
4,1187,420.0,1187,6,14,1Story,HdBoard,None,PConc,Attchd,18,185000
3,1056,572.0,1056,5,14,1Story,Wd Sdng,None,CBlock,Attchd,51,145000
3,1453,530.0,1453,6,11,1Story,MetalSd,BrkFace,CBlock,Attchd,48,187500
3,894,336.0,894,5,7,1Story,MetalSd,None,CBlock,Detchd,45,138500
3,1265,240.0,1938,5,19,1.5Fin,WdShing,None,CBlock,Detchd,71,198000
3,1034,0.0,1991,5,2,2Story,VinylSd,None,CBlock,None,112,119600
3,672,576.0,924,5,11,1.5Fin,MetalSd,None,CBlock,Detchd,58,122900
4,2524,542.0,2524,8,16,1Story,BrkFace,None,PConc,Attchd,28,278000
4,792,400.0,1517,8,19,2Story,BrkFace,None,PConc,Detchd,77,230000
4,1494,481.0,1494,8,24,1Story,BrkFace,None,PConc,Attchd,11,270000
3,948,410.0,948,6,11,1Story,Wd Sdng,None,CBlock,Detchd,55,125000
5,1718,826.0,1718,8,20,1Story,VinylSd,Stone,PConc,Attchd,2,297000
4,1142,384.0,1142,6,11,1Story,Wd Sdng,BrkFace,CBlock,Basment,51,113500
3,925,336.0,1475,5,1,2Story,CemntBd,None,PConc,Attchd,29,127000
4,1844,546.0,1844,6,16,1Story,Plywood,BrkFace,CBlock,Attchd,33,190000
3,1242,528.0,1242,7,16,1Story,HdBoard,BrkFace,CBlock,Attchd,34,175500
4,990,384.0,990,5,20,1Story,VinylSd,None,PConc,Detchd,13,146000
3,1256,276.0,1256,5,5,1Story,HdBoard,None,CBlock,Attchd,43,147500
5,2076,850.0,2076,10,27,1Story,VinylSd,None,PConc,Attchd,0,465000
4,1110,602.0,1110,5,13,SFoyer,Plywood,BrkFace,PConc,Attchd,31,165500
3,1050,352.0,1795,5,4,1.5Fin,MetalSd,BrkFace,BrkTil,Attchd,54,131500
3,1040,384.0,1040,5,7,1Story,HdBoard,None,CBlock,Detchd,43,129500
3,983,786.0,1873,8,19,2Story,BrkFace,Stone,PConc,Detchd,73,257076
3,984,660.0,1604,5,5,1.5Fin,Wd Sdng,None,CBlock,Detchd,68,117000
4,851,270.0,1502,7,19,2Story,Stucco,None,BrkTil,Attchd,77,149000
3,1063,280.0,1063,5,11,1Story,HdBoard,Stone,CBlock,Attchd,56,128000
4,764,474.0,1626,7,27,2Story,VinylSd,Stone,PConc,BuiltIn,5,155000
4,768,440.0,1524,6,22,2Story,MetalSd,BrkFace,PConc,Detchd,6,166000
3,1328,576.0,1981,4,8,1.5Fin,WdShing,None,BrkTil,Detchd,81,135000
4,1392,564.0,2784,7,16,2Story,Plywood,BrkFace,CBlock,Attchd,28,250000
3,546,0.0,1092,4,1,2Story,CemntBd,None,CBlock,None,40,76000
3,1575,400.0,1575,6,11,1Story,Wd Sdng,BrkFace,CBlock,Attchd,55,155000
3,663,299.0,1352,6,7,2Story,HdBoard,Stone,CBlock,Attchd,41,158000
4,600,480.0,1200,7,22,2Story,MetalSd,None,PConc,Detchd,6,149500
3,936,240.0,936,5,11,1Story,MetalSd,None,CBlock,Attchd,52,121000
3,1040,293.0,1040,6,11,1Story,Wd Sdng,None,CBlock,Attchd,54,136000
4,916,386.0,1636,6,14,2Story,HdBoard,None,PConc,Attchd,12,173000
4,1164,671.0,2270,8,26,2Story,VinylSd,BrkFace,PConc,Attchd,11,290000
4,1184,550.0,2610,8,22,2Story,CemntBd,None,PConc,BuiltIn,0,303477
4,1483,690.0,1483,7,23,1Story,Wd Sdng,None,CBlock,Attchd,33,270000
3,960,225.0,1740,5,4,1.5Fin,WdShing,None,BrkTil,Detchd,88,122250
3,1382,350.0,1382,5,11,1Story,AsbShng,None,CBlock,Attchd,54,153000
4,1120,0.0,1120,5,13,1Story,VinylSd,None,PConc,None,0,147000
4,567,216.0,1098,7,19,2Story,Wd Sdng,None,BrkTil,Detchd,77,148500
4,976,380.0,1708,7,5,2Story,VinylSd,Stone,PConc,Detchd,2,130000
5,1802,843.0,1802,9,27,1Story,MetalSd,Stone,PConc,Attchd,1,372000
4,1506,440.0,1506,7,18,1Story,VinylSd,BrkFace,PConc,Attchd,1,213490
4,1508,572.0,1508,7,5,1Story,VinylSd,Stone,PConc,Attchd,1,308030
5,2032,786.0,2032,7,13,1Story,MetalSd,BrkFace,PConc,Attchd,12,300000
3,1194,539.0,1194,6,11,1Story,BrkFace,None,CBlock,BuiltIn,47,159500
4,970,380.0,1709,7,5,2Story,VinylSd,Stone,PConc,Detchd,2,137500
4,1616,834.0,1616,7,22,1Story,VinylSd,BrkFace,PConc,Attchd,1,232000
